StatCode5,ShiptypeLevel5,Level4Code,ShipTypeLevel4,Level3Code,ShipTypeLevel3,Level2Code,ShipTypeLevel2,ShipTypeLevel1Code,ShiptypeLevel1,HullType,SubGroup,SubType
B22E2OF,"FPSO, Oil",B22E,"FPSO (Floating, Production, Storage, Offloading)",B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,"FPSO, Oil"
B22E2OG,Gas Processing Vessel,B22E,"FPSO (Floating, Production, Storage, Offloading)",B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,"FPSO, Gas"
B22F2OW,Well Stimulation Vessel,B22F,Well Stimulation Vessel,B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Well-Stimulation Vessel
B22G2OY,Standby Safety Vessel,B22G,Standby Safety Vessel,B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Standby-Safety Vessel
B22H2OF,"FSO, Oil",B22H,"FSO (Floating, Storage, Offloading)",B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,"FPSO, Oil"
B22J2OE,Trenching Support Vessel,B22J,Trenching Support Vessel,B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Trenching Support Vessel
B22K2OB,Pipe Burying Vessel,B22K,Pipe Burying Vessel,B22,Other Offshore,B2,Offshore,B,Work Vessel,Ship Shape Including Multi-Hulls,Offshore,Pipe-burying Vessel
B31A2SR,Research Survey Vessel,B31A,Research Vessel,B31,Research,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Research Survey Vessel
B32A2ST,Tug,B32A,Tug,B32,Towing / Pushing,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Tug
B32B2SA,Articulated Pusher Tug,B32B,Pusher Tug,B32,Towing / Pushing,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Articulated Pusher Tug
B32B2SP,Pusher Tug,B32B,Pusher Tug,B32,Towing / Pushing,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Pusher Tug
B33A2DB,Bucket Ladder Dredger,B33A,Dredger,B33,Dredging,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Dredger,Bucket Dredger
B33A2DC,Cutter Suction Dredger,B33A,Dredger,B33,Dredging,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Dredger,Cutter Suction Dredger
B33A2DG,Grab Dredger,B33A,Dredger,B33,Dredging,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Dredger,Grab Dredger
B33A2DH,Backhoe Dredger,B33A,Dredger,B33,Dredging,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Dredger,Backhoe Dredger
B33A2DL,Bucket Wheel Suction Dredger,B33A,Dredger,B33,Dredging,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Dredger,Bucket Wheel Suction Dredger
B33A2DS,Suction Dredger,B33A,Dredger,B33,Dredging,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Dredger,Suction Dredger
B33A2DU,Dredger (unspecified),B33A,Dredger,B33,Dredging,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Dredger,Dredger (unspecified)
B33B2DB,Bucket Hopper Dredger,B33B,Hopper Dredger,B33,Dredging,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Dredger,Bucket Dredger
B33B2DG,Grab Hopper Dredger,B33B,Hopper Dredger,B33,Dredging,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Dredger,Grab Dredger
B33B2DS,Suction Hopper Dredger,B33B,Hopper Dredger,B33,Dredging,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Dredger,Suction Dredger
B33B2DT,Trailing Suction Hopper Dredger,B33B,Hopper Dredger,B33,Dredging,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Dredger,Trailing Suction Dredger
B33B2DU,Hopper/Dredger (unspecified),B33B,Hopper Dredger,B33,Dredging,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Dredger,Dredger (unspecified)
B34A2SH,"Hopper, Motor",B34A,Motor Hopper,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Hopper
B34A2SS,Stone Carrier,B34A,Motor Hopper,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Stone Carrier
B34B2SC,Crane Vessel,B34B,Crane Ship,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Crane Ship
B34B2SO,Pile Driving Vessel,B34B,Crane Ship,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Pile Driving Vessel
B34C2SI,Icebreaker,B34C,Icebreaker,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Icebreaker
B34C2SZ,Icebreaker/Research,B34C,Icebreaker,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Icebreaker/Research Vessel
